Country;region;nuts;Konvergenz;
    Bulgaria;the whole territory;BG;1;
    Czech Republic;St_ední _echy;CZ02;1;
    Czech Republic;Jihozápad;CZ03;1;
    Czech Republic;Severozápad;CZ04;1;
    Czech Republic;Severov_chod;CZ05;1;
    Czech Republic;Jihov_chod;CZ06;1;
    Czech Republic;St_ední Morava;CZ07;1;
    Czech Republic;Moravskoslezsko;CZ08;1;
    Germany;Brandenburg-Nordost;DE411;1;
    Germany;Mecklenburg-Vorpommern;DE8;1;
    Germany;Chemnitz;DED1;1;
    Germany;Dresden;DED2;1;
    Germany;Dessau;DEE02;1;
    Germany;Magdeburg;DEE04;1;
    Germany;Thüringen;DEG;1;
    Estonia;the whole territory;EE0;1;
    Greece;Anatoliki Makedonia;EL11;1;
    Greece;Thessalia;EL14;1;
    Greece;Ipeiros;EL21;1;
    Greece;Ionia Nisia;EL22;1;
    Greece;Dytiki Ellada;EL23;1;
    Greece;Peloponnisos;EL25;1;
    Greece;Voreio Aigaio;EL41;1;
    Greece;Kriti;EL43;1;
    Spain;Andalucía;ES61;1;
    Spain;Castilla-La Mancha;ES42;1;
    Spain;Extremadura;ES43;1;
    Spain;Galicia;ES11;1;
    France;Guadeloupe;FR91;1;
    France;Guyane;FR93;1;
    France;Martinique;FR92;1;
    France;Réunion;FR94;1;
    Hungary;Közép-Dunántúl;HU21;1;
    Hungary;Nyugat-Dunántúl;HU22;1;
    Hungary;Dél-Dunántúl;HU23;1;
    Hungary;Észak-Magyarország;HU31;1;
    Hungary;Észak-Alföld;HU32;1;
    Hungary;Dél-Alföld;HU33;1;
    Italy;Calabria;ITF6;1;
    Italy;Campania;ITF3;1;
    Italy;Puglia;ITF4;1;
    Italy;Sicilia;ITG1;1;
    Latvia;the whole territory;LV;1;
    Lithuania;the whole territory;LT;1;
    Malta;the whole island;MT;1;
    Poland;the whole territory;PT;1;
    Portugal;Norte;PT11;1;
    Portugal;Centro;PT16;1;
    Portugal;Alentejo;PT18;1;
    Portugal;Região Autónoma dos Açores;PT2;1;
    Romania;the whole territory;RO;1;
    Slovenia;the whole territory;SI;1;
    Slovakia;Západné Slovensko;SK02;1;
    Slovakia;Stredné Slovensko;SK03;1;
    Slovakia;V_chodné Slovensko;SK04;1;
    United Kingdom;Cornwall and Isles of Scilly;UKK3;1;
    United Kingdom;West Wales and the Valleys;UKL1;1;
   Belgium;Province du Hainaut;BE321;1;
    Germany;Brandenburg-Südwest;DE42;1;
    Germany;Lüneburg;DE93;1;
    Germany;Leipzig;DED3;1;
    Germany;Halle;DEE0;1;
    Greece;Kentriki Makedonia;EL12;1;
    Greece;Dytiki Makedonia;EL13;1;
    Greece;Attiki;EL3;1;
    Spain;Ciudad Autónoma de Ceuta;ES63;1;
    Spain;Ciudad Autónoma de Melilla;ES64;1;
    Spain;Principado de Asturias;ES12;1;
    Spain;Región de Murcia;ES62;1;
    Austria;Burgenland;AT111;1;
    Portugal;Algarve;PT15;1;
    Italy;Basilicata;ITF5;1;
    United Kingdom;Highlands and Islands;UKM6;1;
    Éire-Ireland;Midland and Western;IE01;2;
    Greece;Sterea Ellada;EL24;2;
    Greece;Notio Aigaio;EL42;2;
    Spain;Canarias;ES7;2;
    Spain;Castilla y León;ES41;2;
    Spain;Comunidad Valenciana;ES52;2;
    Italy;Sardegna;ITG2;2;
    Cyprus;tout le territoire;CY;2;
    Hungary;Közép-Magyarország;HU1;2;
    Portugal;Região Autónoma da Madeira;PT3;2;
    Finland;Itä-Suomi;FI13;2;
    United Kingdom;Merseyside;UKD5;2;
    United Kingdom;South Yorkshire;UKE3;2;
Poland;;PL;1;
