GEO/TIME;2009
BE;31500
BE1;59800
BE10;59800
BE2;31400
BE21;36100
BE22;25400
BE23;28500
BE24;33900
BE25;29600
BE3;23100
BE31;32000
BE32;20600
BE33;23700
BE34;21400
BE35;22400
BEZ;NA
BEZZ;NA
BG;4600
BG3;3400
BG31;2900
BG32;3100
BG33;3700
BG34;3800
BG4;5900
BG41;7900
BG42;3200
BGZ;NA
BGZZ;NA
CZ;13500
CZ0;13500
CZ01;28800
CZ02;12100
CZ03;11600
CZ04;11000
CZ05;10900
CZ06;12200
CZ07;10800
CZ08;11100
CZZ;NA
CZZZ;NA
DK;40600
DK0;39500
DK01;49100
DK02;29600
DK03;36200
DK04;38000
DK05;36300
DKZ;NA
DKZZ;NA
DE;29000
DE1;31500
DE11;33100
DE12;32800
DE13;27900
DE14;30000
DE2;33600
DE21;40200
DE22;28800
DE23;30600
DE24;28200
DE25;33100
DE26;28700
DE27;29800
DE3;26500
DE30;26500
DE4;21300
DE41;19600
DE42;22800
DE5;40100
DE50;40100
DE6;47100
DE60;47100
DE7;35200
DE71;39600
DE72;26900
DE73;28500
DE8;21200
DE80;21200
DE9;25700
DE91;26900
DE92;28700
DE93;21200
DE94;25300
DEA;28900
DEA1;33400
DEA2;29200
DEA3;24700
DEA4;27200
DEA5;26300
DEB;25200
DEB1;24200
DEB2;23900
DEB3;26200
DEC;27500
DEC0;27500
DED;22000
DED1;20900
DED2;22300
DED3;23000
DEE;21100
DEE0;21100
DEF;25700
DEF0;25700
DEG;21100
DEG0;21100
DEZ;NA
DEZZ;NA
EE;10300
EE0;10300
EE00;10300
EEZ;NA
EEZZ;NA
IE;35900
IE0;35900
IE01;25000
IE02;40000
IEZ;NA
IEZZ;NA
EL;20500
EL1;16400
EL11;15300
EL12;16600
EL13;18800
EL14;15800
EL2;16200
EL21;14200
EL22;17700
EL23;14300
EL24;19000
EL25;16600
EL3;27000
EL30;27000
EL4;19900
EL41;16600
EL42;24800
EL43;18400
ELZ;NA
ELZZ;NA
ES;22800
ES1;20900
ES11;20500
ES12;21200
ES13;22100
ES2;27900
ES21;29700
ES22;28700
ES23;25000
ES24;25100
ES3;30000
ES30;30000
ES4;19500
ES41;21900
ES42;18500
ES43;15900
ES5;24000
ES51;26500
ES52;20200
ES53;24200
ES6;17800
ES61;17500
ES62;19100
ES63;20700
ES64;19100
ES7;19300
ES70;19300
ESZ;NA
ESZZ;NA
FR;29300
FR1;47800
FR10;47800
FR2;24200
FR21;25100
FR22;22400
FR23;25200
FR24;24900
FR25;22800
FR26;24900
FR3;23900
FR30;23900
FR4;24600
FR41;23000
FR42;27500
FR43;23300
FR5;24900
FR51;26100
FR52;24500
FR53;23400
FR6;25800
FR61;26100
FR62;26200
FR63;22700
FR7;28400
FR71;29400
FR72;23600
FR8;25900
FR81;23300
FR82;27300
FR83;24400
FR9;17900
FR91;17800
FR92;19400
FR93;14300
FR94;18100
FRZ;NA
FRZZ;NA
IT;25400
ITC;30500
ITC1;27100
ITC2;32300
ITC3;27100
ITC4;32500
ITD;30100
ITD1;36100
ITD2;30400
ITD3;29200
ITD4;28200
ITD5;31000
ITE;28000
ITE1;27800
ITE2;23400
ITE3;25600
ITE4;29500
ITF;17100
ITF1;21000
ITF2;20500
ITF3;16400
ITF4;16800
ITF5;18300
ITF6;16500
ITG;17400
ITG1;16700
ITG2;19500
ITZ;NA
ITZZ;NA
CY;21100
CY0;21100
CY00;21100
CYZ;NA
CYZZ;NA
LV;8200
LV0;8200
LV00;8200
LVZ;NA
LVZZ;NA
LT;8000
LT0;8000
LT00;8000
LTZ;NA
LTZZ;NA
LU;75200
LU0;75200
LU00;75200
LUZ;NA
LUZZ;NA
HU;9100
HU1;15300
HU10;15300
HU2;7500
HU21;7600
HU22;8500
HU23;6300
HU3;5900
HU31;5600
HU32;5900
HU33;6000
HUZ;NA
HUZZ;NA
MT;14000
MT0;14000
MT00;14000
MTZ;NA
MTZZ;NA
NL;34600
NL1;33200
NL11;44700
NL12;28200
NL13;26500
NL2;29300
NL21;30000
NL22;29600
NL23;25400
NL3;37100
NL31;41200
NL32;39500
NL33;34400
NL34;31900
NL4;33200
NL41;34700
NL42;30000
NLZ;NA
NLZZ;NA
AT;32900
AT1;34000
AT11;22200
AT12;27000
AT13;42600
AT2;28100
AT21;27400
AT22;28500
AT3;34300
AT31;32800
AT32;37500
AT33;34600
AT34;34600
ATZ;NA
ATZZ;NA
PL;8100
PL1;11200
PL11;7400
PL12;13000
PL2;8000
PL21;7000
PL22;8700
PL3;5800
PL31;5500
PL32;5600
PL33;6300
PL34;6000
PL4;8000
PL41;8600
PL42;7100
PL43;6900
PL5;8300
PL51;8900
PL52;6600
PL6;7100
PL61;6900
PL62;6000
PL63;7900
PLZ;NA
PLZZ;NA
PT;15800
PT1;15700
PT11;12600
PT15;16800
PT16;13200
PT17;22300
PT18;14300
PT2;14900
PT20;14900
PT3;20800
PT30;20800
PTZ;NA
PTZZ;NA
RO;5500
RO1;5200
RO11;5000
RO12;5300
RO2;3900
RO21;3400
RO22;4400
RO3;8100
RO31;4700
RO32;13000
RO4;5000
RO41;4200
RO42;6000
ROZ;NA
ROZZ;NA
SI;17300
SI0;17300
SI01;14200
SI02;20700
SIZ;NA
SIZZ;NA
SK;11600
SK0;11600
SK01;28400
SK02;10900
SK03;9300
SK04;7800
SKZ;NA
SKZZ;NA
FI;32300
FI1;32200
FI13;24100
FI18;37200
FI19;29000
FI1A;26700
FI2;46200
FI20;46200
FIZ;NA
FIZZ;NA
SE;31300
SE1;37100
SE11;45200
SE12;26600
SE2;28000
SE21;26900
SE22;26800
SE23;29300
SE3;27300
SE31;26300
SE32;28800
SE33;27700
SEZ;NA
SEZZ;NA
UK;25300
UKC;19000
UKC1;17700
UKC2;20200
UKD;21000
UKD1;20000
UKD2;25900
UKD3;21900
UKD4;19100
UKD5;18100
UKE;20600
UKE1;19300
UKE2;21200
UKE3;18800
UKE4;21900
UKF;21800
UKF1;21300
UKF2;24100
UKF3;18000
UKG;20700
UKG1;21400
UKG2;18800
UKG3;21400
UKH;23100
UKH1;22600
UKH2;26500
UKH3;20400
UKI;43300
UKI1;75900
UKI2;22000
UKJ;26500
UKJ1;32500
UKJ2;25900
UKJ3;25200
UKJ4;20600
UKK;22600
UKK1;26100
UKK2;21400
UKK3;16500
UKK4;19800
UKL;18300
UKL1;15700
UKL2;22700
UKM;24600
UKM2;25100
UKM3;22900
UKM5;36200
UKM6;19300
UKN;19000
UKN0;19000
UKZ;NA
UKZZ;NA
EFTA;NA
IS;27200
IS0;NA
IS00;NA
ISZ;NA
ISZZ;NA
LI;NA
LI0;NA
LI00;NA
LIZ;NA
LIZZ;NA
NO;NA
NO0;NA
NO01;NA
NO02;NA
NO03;NA
NO04;NA
NO05;NA
NO06;NA
NO07;NA
NOZ;NA
NOZZ;NA
CH;NA
CH0;NA
CH01;NA
CH02;NA
CH03;NA
CH04;NA
CH05;NA
CH06;NA
CH07;NA
CHZ;NA
CHZZ;NA
HR;10100
HR0;10100
HR01;12700
HR02;7100
HR03;9800
HRZ;NA
HRZZ;NA
MK;3300
MK0;3300
MK00;3300
MK001;NA
MK002;NA
MK003;NA
MK004;NA
MK005;NA
MK006;NA
MK007;NA
MK008;NA
MKZ;NA
MKZZ;NA
TR;NA
TR1;NA
TR10;NA
TR2;NA
TR21;NA
TR22;NA
TR3;NA
TR31;NA
TR32;NA
TR33;NA
TR4;NA
TR41;NA
TR42;NA
TR5;NA
TR51;NA
TR52;NA
TR6;NA
TR61;NA
TR62;NA
TR63;NA
TR7;NA
TR71;NA
TR72;NA
TR8;NA
TR81;NA
TR82;NA
TR83;NA
TR9;NA
TR90;NA
TRA;NA
TRA1;NA
TRA2;NA
TRB;NA
TRB1;NA
TRB2;NA
TRC;NA
TRC1;NA
TRC2;NA
TRC3;NA
TRZ;NA
TRZZ;NA
;
;
;
;
